Тело и позиция,Время,Кол-во периодов
Пустая рамка,30.79,12
Куб 1,36.84,12
Куб 2,37.01,12
Куб 3,37.95,12
Куб 4,36.93,12
Диск 1,41.85,12
Диск 1,41.53,12
Диск 1,41.81,12
Диск 2,36.89,12
Диск 2,36.88,12
Диск 2,36.82,12
Параллелепипед 1,49.21,12
Параллелепипед 1,49.07,12
Параллелепипед 1,49.02,12
Параллелепипед 2,45.28,12
Параллелепипед 2,45.55,12
Параллелепипед 2,45.65,12
Цилиндр 1,38.91,12
Цилиндр 1,38.78,12
Цилиндр 1,38.94,12
Цилиндр 1 ,39.04,12
Цилиндр 2,36.85,12
Цилиндр 2,36.76,12
Цилиндр 2,36.81,12
